UII,HEI NAME,TYPE,PNSL-Q,PNSL-V,LIST-Q,LIST-V,LIST-D,4Ps-Q,4Ps-V,ES-O,ES-V,TD,TD-V,TD-D, 
1117,Luzon College of Science & Technology (Urdaneta),PHEI,,,,,,,,,,,,,
1119,Mystical Rose College of Science and Technology,PHEI,,,,,,,,,,,,,
1121,St. Therese College Foundation,PHEI,,,,,,,,,,,,,
1122,ABE International College of Business and Accountancy-Urdaneta City,PHEI,,,,,,,,,,,,,
1124,La Finn's Scholastica,PHEI,,,,,,,,,,,,,
1127,Panpacific University North Philippines-Tayug,PHEI,,,,,,,,,,,,,
1128,Kingfisher School of Business & Finance,PHEI,,,,,,,,,,,,,
1129,NICOSAT Colleges,PHEI,,,,,,,,,,,,,
1130,AIE College,PHEI,,,,,,,,,,,,,
1131,St. Camillus College of Manaoag Foundation,PHEI,,,,,,,,,,,,,
1132,"International Colleges for Excellence, inc",PHEI,,,,,,,,,,,,,
1133,Philippine College of Northwestern Luzon,PHEI,,,,,,,,,,,,,
1134,Philippine Darakbang Theological College,PHEI,,,,,,,,,,,,,
1135,Saint John Bosco College of Northern Luzon,PHEI,,,,,,,,,,,,,
1136,University of Eastern Pangasinan,LUC,,,,,,,,,,,,,
1137,Rosales-Wesleyan Bible College,PHEI,,,,,,,,,,,,,
1140,La Union Christian Comprehensive College,PHEI,,,,,,,,,,,,,
1141,Immaculate Conception School of Theology,PHEI,,,,,,,,,,,,,
1142,Polytechnic Colleges of Region 1,PHEI,,,,,,,,,,,,,
1143,WCC Aeronautical & Technological College,PHEI,,,,,,,,,,,,,
1144,PIMSAT Colleges-San Carlos City,PHEI,,,,,,,,,,,,,
1145,Binalatongan Community College,LUC,,,,,,,,,,,,,
1146,Mary Help of Christians Theology Seminary,PHEI,,,,,,,,,,,,,
1147,STI College-Vigan,PHEI,,,,,,,,,,,,,
1148,STI Education Services Group,PHEI,,,,,,,,,,,,,
1149,Señor Tesoro College,PHEI,,,,,,,,,,,,,
1150,PHINMA-Upang College Urdaneta,PHEI,,,,,,,,,,,,,
1151,"Mary Cause of Our Joy College Seminary, Inc.",PHEI,,,,,,,,,,,,,
1155,Kingsville Advanced School,PHEI,,,,,,,,,,,,,
